year,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BOL,BRA,BTN,BWA,CAF,CAN,CD-KN,CHE,CHL,CHN,CIV,CMR,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DDR,DE-BW,DE-BY,DE-SN,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,Gran Colombia,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISR,IT-52,IT-88,IT-MO,IT-PR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,Papal States,Prussia,QAT,ROU,RUS,RWA,SAU,SCG,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,SUN,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TTO,TUN,TUR,TWN,TZA,Two Sicilies,UGA,UKR,URY,USA,UZB,United Province Canada,VDR,VEN,VNM,Wuerttemburg,XXK,YEM,YMD,YUG,ZA-FS,ZAF,ZMB,ZWE
1796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
1797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,
1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,
1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,
1800,-6.0,,,,,,,-10.0,,,,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,-10.0,,,,-10.0,,,,,,-10.0,,,,,-8.0,,-2.0,,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,-10.0,,,,,1.0,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,,,,-6.0,,-6.0,,,,,,,,-10.0,,,-10.0,,,-10.0,,,,,,,,,,,,,,,,,-10.0,,,,,-10.0,,,,,,-10.0,,,,,,,5.0,,,,,,-7.0,,,,,,,,
1801,-6.0,,,,,,,-10.0,,,,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,-10.0,,,,-10.0,,,,,,-10.0,,,,,-8.0,,-2.0,,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,-10.0,,,,,1.0,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,,,,-6.0,,-6.0,,,,,,,,,,,-10.0,,,-10.0,,,,,,,,,,,,,,,,,-10.0,,,,,-10.0,,,,,,-10.0,,,,,,,6.0,,,,,,-7.0,,,,,,,,
1802,-6.0,,,,,,,-10.0,,,,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,-10.0,,,,-10.0,,,,,,-10.0,,,,,-8.0,,-2.0,,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,-10.0,,,,,1.0,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,,,,-6.0,,-6.0,,,,,,,,-10.0,,,-10.0,,,-10.0,,,,,,,,,,,,,,,,,-10.0,,,,,-10.0,,,,,,-10.0,,,,,,,6.0,,,,,,-7.0,,,,,,,,
1803,-6.0,,,,,,,-10.0,,,,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,-10.0,,,,-10.0,,,,,,-10.0,,,,,-8.0,,-2.0,,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,-10.0,,,,,1.0,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,,,,-6.0,,-6.0,,,,,,,,-10.0,,,-10.0,,,-10.0,,,,,,,,,,,,,,,,,-10.0,,,,,-10.0,,,,,,-10.0,,,,,,,6.0,,,,,,-7.0,,,,,,,,
1804,-6.0,,,,,,,-10.0,,,,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,-10.0,,,,-10.0,,,,,,-10.0,,,,,-8.0,,-2.0,,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,-10.0,,,,,1.0,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,,,,-6.0,,-6.0,,,,,,,,-10.0,,,-10.0,,,-10.0,,,,,,,,,,,,,,,,,-10.0,,,,,-10.0,,,,,,-10.0,,,,,,,6.0,,,,,,-7.0,,,,,,,,
1805,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,-10.0,,,,-10.0,,,,,,-10.0,,,,,-8.0,,-2.0,,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,-10.0,,,,,1.0,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,,,,-6.0,,-6.0,,,,,,,,-10.0,,,-10.0,,,-10.0,,,,,,,,,,,,,,,,,-10.0,,,,,-10.0,,,,,,-10.0,,,,,,,6.0,,,,,,-7.0,,,,,,,,
1806,-6.0,,,,,,,-10.0,,,,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,-10.0,-10.0,,,-10.0,,,,,,-10.0,,,,,-8.0,,-2.0,,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,-10.0,,,,,1.0,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,,,,-6.0,,-6.0,,,,,,,,-10.0,,,,,,-10.0,,,,,,,,,,,,,,,,,-10.0,,,,,-10.0,,,,,,-10.0,,,,,,,6.0,,,,,,-7.0,,,,,,,,
1807,-6.0,,,,,,,-10.0,,,,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,-10.0,-10.0,,,-10.0,,,,,,-10.0,,,,,-8.0,,-2.0,,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,-10.0,,,,,1.0,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,,,,-6.0,,-6.0,,,,,,,,,,,,,,-10.0,,,,,,,,,,,,,,,,,-10.0,,,,,-10.0,,,,,,-10.0,,,,,,,6.0,,,,,,-7.0,,,,,,,,
