,AND,ARE,AFG,ATG,AIA,ALB,ARM,AGO,ATA,ARG,ASM,AUT,AUS,ABW,ALA,AZE,BIH,BRB,BGD,BEL,BFA,BGR,BHR,BDI,BEN,BLM,BMU,BRN,BOL,BES,BRA,BHS,BTN,BVT,BWA,BLR,BLZ,CAN,CCK,COD,CAF,COG,CHE,CIV,COK,CHL,CMR,CHN,COL,CRI,CUB,CPV,CUW,CYP,CZE,DEU,DJI,DNK,DMA,DOM,DZA,ECU,EST,EGY,ESH,ERI,ESP,ETH,FIN,FJI,FLK,FSM,FRO,FRA,GAB,GBR,GRD,GEO,GUF,GGY,GHA,GIB,GRL,GMB,GIN,GLP,GNQ,GRC,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IRL,ISR,IMN,IND,IOT,IRQ,IRN,ISL,ITA,JEY,JAM,JOR,JPN,KEN,KGZ,KHM,KIR,COM,KNA,PRK,KOR,KWT,CYM,KAZ,LAO,LBN,LCA,LIE,LKA,LBR,LSO,LTU,LUX,LVA,LBY,MAR,MCO,MDA,MNE,MDG,MHL,MKD,MLI,MMR,MNG,MAC,MNP,MTQ,MRT,MSR,MLT,MUS,MDV,MWI,MEX,MYS,MOZ,NAM,NCL,NER,NFK,NGA,NIC,NLD,NOR,NPL,NRU,NIU,NZL,OMN,PAN,PER,PYF,PNG,PHL,PAK,POL,SPM,PCN,PRI,PSE,PRT,PLW,PRY,QAT,REU,ROU,SRB,RUS,RWA,SAU,SLB,SYC,SDN,SWE,SGP,SHN,SVN,SVK,SLE,SMR,SEN,SOM,SUR,STP,SLV,SYR,SWZ,TCA,TCD,ATF,TGO,THA,TJK,TKL,TKM,TUN,TON,TUR,TTO,TUV,TWN,TZA,UKR,UGA,UMI,USA,URY,UZB,VAT,VCT,VEN,VGB,VIR,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
1900,,,,,,,,,,,,17.657806293590085,3.952013167059778,,,,,,,1.618034712356782,,,,,,,,,,,,,,,,,,7.940540823134736,,,,,44.69475980221614,,,,,,,,,,,,,53.521085400635215,,,,,,,,,,,1.7080351761822994,,,,,,,21.680258900001036,,28.2621460338766,,,,,,,,,,,,,,,,,,,,1.618034712356782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6941495702769427,,,,,,,,,,2.73205159624406,,,,,,,,,,,,,,,,,,,,,,1.618034712356782,,1.6437492965802094,,,,,,7.338199590430562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.48632128762836,,,,,,,,,,,,,,,
1901,,,,,,,,,,,,16.037741901756334,5.401939402605174,,,,,,,1.6216537660308254,,,,,,,,,,,1.618034712356782,,,,,,,6.9517168527427255,,,,,47.01795755794817,,,,,,,,,,,,,63.020060677417945,,4.7394634122661445,,,1.618034712356782,,,,,,,,,,,,,17.466454905447126,,35.9841040162372,,,,,,,,,,,,,,,,,,,,9.508901585004471,,1.618034712356782,,,1.618034712356782,,,,,4.728050634295432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.618034712356782,,,,,,,,,2.7942720049695775,1.618034712356782,,,,2.7359948507365126,,,,,,,,,,,,,,,,,,,,1.633172483522124,,,,,,3.7912886748047865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0671054538091,,,,,,,,,,,,,,,
1902,,,,,,,,,,,,9.636423771132726,2.9063727566795103,,,,,,,3.896509628480599,,,,,,,,,,,1.620749114071318,,,,,,,8.140715006007635,,,,,50.15823289799232,,,,,,,,,,,,,77.21819945467941,,7.214444754452361,,,,,,,,,1.618034712356782,,1.7980684984865922,,,,,2263.9038374791976,,27.811471438389496,,,,,,,,,,,,,,,,,,,,1.6446644550462683,,,,,1.618034712356782,,,,,2.73239997521149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7925179488254177,,,,,,,,,,4.261802907219863,,,,,,,,,,,,1.618034712356782,,,,,,,,,,1.7185477968794154,,4.582347020444162,,,,,,3.951009342238673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.7041080104659,,,,,,,,,,,,,,,
1903,,,,,,,,,,6.064171324412285,,221.36926741110054,43.9383582851908,,,,1.6188951782749164,,,182.52741264013645,,1.6197121794914138,,,,,1.618034712356782,,,,7.949957548165831,,,,,,,37.95615178653712,,,,,190.3306404909566,,,2.738203160970009,,,1.6263083722276717,,,,,,,886.0702063768435,,39.220174991862805,,,19.476769760118692,,,7.43146002606114,,,59.13345806558978,,3.820667615711931,,,,,1279.7332754941585,,603.8046881640021,,,,,,,,,,,,12.340130256608722,,,,,,,,75.6198909522884,,2.7934924896371496,,,4.927808718480873,,,,,97.18874059618284,,,,3.811961060232803,,,,,,,,,,,,,,,,,,,,8.105978404794323,,,,2.755325436622846,,,1.7209070002885218,,,,,,,,,,,,,,,4.832435672229486,,,,,,,,,61.6572431642423,14.269605135931087,,,,18.141789204532735,,,,,,,,,,,,,2.747707830546115,,,,,6.910323895600938,,114.19783480860075,,,,,,60.77742638370001,,,,,,,,,,,,,,,,,,,,,,4.84255972932237,,14.44984283507506,,,,,,,,841.0714240006929,,,,,,,,2.7348647468581273,,,,,8.091471735412771,,
1904,,,,,,,,1.852889399699957,,10.060106011599094,,233.8073555330841,53.84320050523538,,,,,,,210.27677390730585,,2.734957372511148,,,,,,,,,4.864374902677928,,,,,,,40.72283884932523,,,,,271.47731768973364,,,1.6189081682594801,,,,,2.9128466981176353,,,,1.6185571319733922,926.4023520798659,,46.65845366310196,,,24.73985468985271,,,5.908199189311983,,,60.96114694955407,,1.6185571319733922,,,,,1385.2304031174256,,590.4074160019131,,,,,,,,,,,,4.305985684975495,,,,,,,,71.83932788892129,1.6185571319733922,5.033279009214803,,,2.7588612903710312,,,,,98.0586173228922,,,,7.0698369464852595,,,,,,,,,,,,,,,,,,,,2.7334724294057984,,,,5.882372298296069,,,2.7579324488245853,,,,,,,,,,,,,,,5.164093268374657,1.7939439165446767,,,,,,,,37.46393910871644,17.195252236065503,,,,33.08810637513845,,,,,,,,1.6189081682594801,,,,,3.205293882147299,,,,,6.910015017644952,,60.574951284126925,,,,,,56.08361681667839,,,,,,,,,,,,,,,,,,,,,,6.023284003560498,,6.167339714553332,,,,,,,,828.5648963371178,,,,,,,,3.827876174084491,,,,,8.9316626382749,,
1905,,,,,,,,,,8.548197952581004,,224.49094198710247,47.89300732666892,,,,,,,193.73005927402065,,2.7350054114451434,,,,,,,,,9.069514333278658,,,,,,,60.14416457814312,,,,,237.49674600514555,,,1.618034712356782,,,1.6185827118906968,,,,,,1.6185827118906968,948.1905879943876,,55.26255328494694,,,31.340548371511808,,,9.33640876393673,,,51.16559273743112,,,,,,,1320.5753867701944,,649.3958649441628,,,,,,,,,1.624311548112818,,,5.409514124238925,,,,,1.618797956894052,,1.6573803189233198,75.49734612481586,1.6826106806365377,3.809687643939709,,,2.734153276538319,,,,,117.58659344017019,,,,6.9332463384725225,,,,,,,,,,,,,,,,,,,,6.89330205187367,,,,,,,2.8243008967258123,,,,,,,,,,,,,,,6.908646402161067,,,,,,,1.6191492015388054,,52.05487788074527,15.167058392471413,,,,27.471407893386854,,,,,,,,,,,,,7.022516569437939,,,,,11.563669517086009,1.703536683042888,71.01998501803925,,,,,,56.844369789325526,,,,,,,1.646337507730653,,,,,,,,,,,,,,,2.74547984897723,,6.139799526858437,,,,,,,,869.6413814937184,,,,,,,,2.753880469500336,,,,,12.096162970472268,,
1906,,,,,,,,,,8.005735844662365,,240.74296203711862,58.96644247007701,,,,,,,184.9145543235582,,,,,1.6266768465969157,,,,,,4.014573998168171,,,,,,,73.62960927624258,,,,,262.51947068202895,,,4.86653822351828,,,,,,,,,,1020.2684428222045,,49.488196601952914,,,34.02810397818135,,,9.651450790999142,,,60.67922201256078,,4.0587422495058405,,,,,1231.1702654824433,,644.4755996238375,,,,,,,,,,,,3.864888043785042,,,1.6217176989198256,,,,1.8762083249021801,89.26075285990635,,6.027584871318936,,,5.082267790872222,,,,,131.93020623382543,,,,2.746611372974948,,,2.7359318853538133,,,,,,,,,,,,,1.6300887627709693,,,,2.7332754592819977,,,,1.6548716640940455,,,4.02541551974628,,,,,,,,,,,,,,,2.740993399143743,,,,,,,,,52.77249223128928,16.423157364595703,,,,29.220491650880838,,,,,,,,2.7346055099301694,,,,,3.191347915291801,,,,,6.927286264571731,2.7334653482294002,89.93547475764207,,,,,,66.34560828529423,1.701331086604737,,,,,,1.618622510514045,,,,,1.8549240644569711,,,,,,,,,,4.8491704368904305,,3.1745507436114715,,,,,,,,782.8861787143337,1.6200824931015867,,,,1.6403341813002377,,,4.878097900399484,,,,,11.153207459767676,,
1907,,,,1.6316832698098778,,,,,,13.384525457070017,,261.02729458729686,61.34747352228896,,,,,,,234.7459772721528,,1.6218278434536348,,,,,,,,,3.967854454099353,,,,,,,78.52515913525446,,,,,253.61204617249783,,,2.7361643961984643,,1.6404198993958512,,,1.6185736330562281,,,,,1021.800636527736,,56.87652300428701,,,27.086872362738745,,,4.96918184115673,,,56.764014480484164,,9.050055457615727,,,,,1342.8201505963714,,647.8103453179664,,,,,,,,,1.622635641548201,,,1.6313512635168796,,,,,,1.6252464475215447,,89.69085280083792,,,,,8.23472720872222,,,,,150.29006679905095,,,,12.07079962802796,,,1.6220076106039358,,,,,,,,,,,,,,,,,2.7326389504444464,,,1.619151929777674,2.7531140200154463,,,1.6597731263411302,,,,,,,,,,,,,,,5.169300493621173,,,,,,,,,56.09386510907323,25.227768905227588,,,,27.739408617332156,,,,,,,,1.6200217573610938,,,,,5.885793815126447,,,,,23.403501863211133,1.6185736330562281,73.07857064062046,,,,,,80.70711581957865,,,,,,,,,,,,,,,,,,,,,,3.824214481114003,,4.857851111752354,,,,,,,,832.3377359118668,1.6248437060544285,,,,,,,5.968413837852053,,,,,14.231626235647852,,
1908,,,,,,,,,,15.218996549347937,,244.998599409754,58.03082529562829,,,,,,,223.37716022873988,,2.7337522889487595,,,,,,,,,3.797460245582051,,,,,,,61.291233223971005,,,,,251.2168346790158,,,1.6297305723507665,,2.7331947171651514,4.8479718623623,,2.7659548875692677,,,,,1041.1698344090098,,52.660484554632816,,,36.851820571526254,,,6.441453024302873,,,66.92075737588095,,4.909017784686075,,,,,1374.5832167999615,,689.9925707204785,,,,,,,,,,,,1.6237044609985147,,,,1.6284098688336874,,,1.618900020934498,120.00314221636559,,3.805333973149645,,,1.618034712356782,,,,,176.31312039189228,,,,9.988371351059524,,,1.7767576760508488,,,,,,,,,,,,,1.6199492355387948,,,,7.038403255744031,,,,3.8325338493557233,,,,,,,,,,,,,,,,,,13.286155008989333,,,,,,,,,60.280871860770084,32.81502384136088,,,,19.946575485617668,,,,,,1.62407081322129,,,,,,,7.032835973721272,,,,,9.25436227566416,,93.39281697863333,,,,,,90.17862588630528,,,,,,,,,,,,,,,,,,,,,,2.733952384916766,,3.9072886710955825,,,,,,,,836.365097758599,2.7537761279670754,,,,,,,5.903225989492656,,,,,14.092829657933123,,
1909,,,,,,,,,,25.408790812703067,,256.0009043980541,129.57405491786446,,,,,,,262.9968783591712,,2.7537412379431245,,,,,,,,,7.332305497982617,,,,,,,151.99748710856414,,,,,327.0895190315252,,,2.73403763793118,,2.745633337021455,,,5.886102874027494,,,,,1121.5010301950365,,78.1580109821898,,,40.09981378664759,,,12.61506314991456,,,52.24104734606828,,3.8247542117522046,,,,,1315.4373155480037,,1188.0832211601314,,,,,,,,,,,,6.3564171708551855,,,,,,,,92.15467875667413,,60.62391640941066,,,27.226575691540678,,,,,180.14629596627984,,1.7276616665308233,,7.905540668147564,,,,,,,,,,,,,,,,,,,,11.012801679298112,,,,,,,,,,,,,,,,,,1.6729920026140674,,,,20.53874889241993,,,,,,,,,64.87585635084443,42.36681373533797,,,,63.92428674516759,,,,,,,,1.6186613850574032,,,,,6.285405187166154,,4.202102338136281,,,18.23781649184499,,156.61652958860907,,,,,,129.40378643826483,1.672852914611441,,,,,,1.6232096073125342,,,,,,,,,,,,,,,6.832931198501414,,4.912381484847111,,,,,,,,1154.8044380350284,1.618034712356782,,,,1.6186799963962668,,,3.806740499452957,,,,,18.70110328777259,,
