year,ABW,AFG,AGO,ALB,AND,ARB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CEB,CHE,CHI,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CSS,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,EAP,EAR,EAS,ECA,ECS,ECU,EGY,EMU,ERI,ESP,EST,ETH,EUU,FCS,FIN,FJI,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HIC,HKG,HND,HPC,HRV,HTI,HUN,IBD,IBT,IDA,IDB,IDN,IDX,IMN,IND,INX,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAC,LAO,LBN,LBR,LBY,LCA,LCN,LDC,LIC,LIE,LKA,LMC,LMY,LSO,LTE,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEA,MEX,MHL,MIC,MKD,MLI,MLT,MMR,MNA,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAC,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OED,OMN,OSS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRE,PRI,PRK,PRT,PRY,PSE,PSS,PST,PYF,QAT,ROU,RUS,RWA,SAS,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSA,SSD,SSF,SST,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TEA,TEC,TGO,THA,TJK,TKM,TLA,TLS,TMN,TON,TSA,TSS,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UMC,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WLD,WSM,XKX,YEM,ZAF,ZMB,ZWE
1960,,,,,,,,5642.76513813328,,,,19378.3252760841,13031.0317692215,,213.39688081986,13021.6523226267,711.936341366233,268.744106353216,372.03174536069,,,17734.6531166301,,,1079.38329873794,33362.707615503,1005.40846829543,3417.35244190971,,,,407.78231106312,599.700572575361,16405.9053399751,,,,3611.91791176056,191.957204191309,1225.52528467911,957.268911048322,1038.93243150651,1563.97772757204,2339.44453416361,,,2911.05535609751,,,,,,,,,,20537.5461117645,1323.81589670448,2480.95137108842,289.869700054771,1142.97442740467,1283.38179027026,,,2238.00944239002,578.599582573853,10732.9852779423,,7375.70290375568,,,,1514.64545275777,12184.9242523916,1773.77738733879,12743.9250993468,,,4366.39151871198,13934.029834142,,1056.72633659549,,,,,,6259.79312797036,,,1490.72751531254,,2565.05802683772,11627.5940551264,,1095.99309338676,657.77547228366,,1512.00346522476,,1095.57379051026,1026.53080823826,653.836766753356,842.055856068981,690.368774397586,,,330.205320101361,,,2978.97199333751,,11701.9895851769,8789.01930685344,10878.9830327805,,,8607.65708226621,,537.461013064515,,,,,932.041731785091,,3637.81272835168,,,,,,3692.81380326378,,,,,579.345998678829,983.57010298743,261.80133696219,944.798278967675,,27085.5910045498,,,,,,,818.823766416445,,,3907.49380113654,,1013.12983607424,,,,153.343932896455,,,,,,,,238.45720144845,1353.97161568899,17461.8984815585,,,825.938461798474,1360.41899828165,1505.64193890964,16386.545493575,23167.4417398364,265.962528094802,,,11267.1669257463,,,302.092562158286,2139.40777691539,2659.52505316157,1100.02092186102,,1012.44118662576,,,5831.72153864979,,4500.73615268579,1364.33321530734,,,11670.6564668383,,,,,351.3823745897,331.899927415722,,876.363851435438,1361.70255104069,3503.41112253189,,372.71475561519,,,,,1119.00145298389,,1120.62654932951,,,3335.05009953589,,,18062.4699207314,,,2829.64065938329,,,696.952470181898,293.034211361031,,374.645946661339,570.857789848503,,,3721.56659519204,,,,331.899927415722,1120.62654932951,4006.7216377108,,3174.84139704254,,,,,1319.7632089056,5474.63877962861,17562.6661462696,,1751.86291080683,12457.2069618454,,,,,3747.51447336941,,,,4624.07703290819,1495.70522032485,994.697854661986
1961,,,,,,,,5853.17190550128,,,,19468.768299553,13677.4644013835,,180.545876285742,13624.5883082738,724.102582686749,275.881998338769,383.784409679025,,,18673.9250729318,,,1100.6400490298,34079.7638579494,1006.59361937801,3660.39149911126,,,,425.241457783386,619.344409467308,16589.5509058026,,,,3723.17327361946,141.035481186576,1299.76519469778,948.788311915758,903.12763213526,1654.19035360253,2382.80958680698,,,2857.53797159893,,,,,,,,,,21695.6056691721,1250.65072965509,2090.75441606115,257.633849470573,1165.24295798752,1354.29430620888,,,2287.00553626265,592.156596327185,11335.0968632081,,8172.6097545664,,,,1496.37626683573,13019.3436225646,1774.09541299128,13203.3208543349,,,4962.9106010292,14198.6735653091,,1058.96403088034,,,,,,7030.36082846135,,,1509.81766392074,,2605.80385832902,11999.0713646979,3380.64015548212,1085.56492631851,642.309624762338,,1439.45541140911,,1111.34713907358,1037.29060276757,645.244572114176,832.96276178467,710.98176060284,580.524548819577,,335.721343730315,,,3236.17310661483,,11466.4422222651,9456.23009600279,11693.4292680534,,,9396.22121442564,,480.433254225248,,,,,967.548371964269,,3770.32286036216,,,,,,3827.5368503845,,,,585.908397781922,578.611936791997,992.877907018053,261.79930198071,938.538211457953,,27867.7813617243,,,,,,,815.731357750206,,,3977.12742979403,,1025.02800868777,,,,150.774494571746,,,,,,1382.38738578385,,250.66329005114,1411.59329661835,17577.0862549178,,,839.324836171336,1335.6542151654,1568.42220474527,16220.2224545958,24426.0114264798,266.755634805731,,,11609.4037462793,,,312.697310292715,2303.80175645059,2775.23113546101,1123.67886159869,,1055.73974880761,,,6133.84503935013,,4711.76075305779,1420.74395033763,,,12045.98353695,,,,,329.244590493251,338.335901643998,,853.721870406613,1364.78662852011,3663.85870726339,,373.855550149451,,,,,1109.09734126493,,1110.6413863427,,,3400.13380289735,,,18998.9401153673,,,2616.87434830393,,,693.125568049334,260.51914175452,,415.762439832955,583.84476548449,,,3855.26037027381,,,,338.335901643998,1110.6413863427,4480.1814326514,,3134.57732331441,,,,,1346.0299696005,5539.0383371951,17671.2247077149,,1804.61042830413,12401.8676998824,,,,,3856.41396158064,,,,4685.49094935963,1471.24513210048,1022.76518471366
1962,,,,,,,,5711.17933827409,,,,19245.6057524971,13953.9501954416,,193.191880665894,14277.7557746621,688.946213739833,288.909500344678,393.633503098828,,,19608.834151723,,,1122.70719478296,34762.7120871081,1042.06398569185,3740.43327985188,,,,443.984373284452,586.412275976213,17492.9943302005,,,,3794.01077306602,132.077605738661,1267.13839341278,957.054364096145,1067.06411741419,1697.73138386219,2434.60209622861,,,2903.42609268191,,,,,,,,,,22747.2886479512,1416.15020968239,1638.22136397989,253.973663315838,1186.36349520842,1419.36867051961,,,2332.13521892776,598.783151192473,11951.3005980542,,8903.76985815893,,,,1573.57823377921,13316.7117539614,1775.23062078109,13911.255047305,,,5275.36970847988,14233.9599474787,,1067.6087741526,,,,,,7014.09522193886,,,1517.98151506118,,2560.67518960303,12543.4633537221,3703.51135722093,1116.59458192034,670.711345791009,,1523.15255010855,,1132.81929473638,1058.26211093639,664.662541287512,847.970703492967,705.138338825589,604.632724246319,,338.611131094939,,,3424.16318769075,,12191.6662929095,9925.99465704412,12335.1035996698,,,10138.3970143568,,509.491109762246,,,,,976.90110452105,,3844.58908583713,,,,,,3902.82926236931,,,,594.144608237657,577.996034349162,1013.1497162254,296.294023743721,955.759359430216,,27902.526144045,,,,,,,814.160989307588,,,4035.33436567156,,1044.24092396621,,,,153.575852177743,,,,,,1352.11918588444,,246.338182909811,1454.78923800169,18378.7229437011,,,899.31063506841,1361.88816432816,1686.11499478965,17085.1393576099,24912.3932844298,267.529238434749,,,12118.1750563242,,,318.86787710544,2420.461253565,2967.7005127854,1138.89230070631,,1102.25921167445,,,6507.17529298281,,4987.29807825116,1429.51134446337,,,12598.7223134554,,,,,360.003464440079,342.160015891645,,888.595250256338,1326.09436997454,3833.00514693745,,384.875734844287,,,,,1146.50162701892,,1148.09499284161,,,3439.96065069866,,,19699.1660046732,,,2762.64714443044,,,716.036572145662,256.832452279208,,427.377736570923,609.449907392204,,,3927.08108140726,,,,342.160015891645,1148.09499284161,4526.51106795884,,3230.49359369126,,,,,1382.1931752545,5384.40330252748,18463.0138577112,,1847.26741444479,12992.8269477038,,,,,4001.60847186755,,,,4852.78083949897,1392.22011417038,1002.97673324188
1963,,,,,,,,5323.49430875299,,,,20053.3510269212,14438.3568543653,,197.305647300731,14788.0932437405,710.194103236044,281.416850339393,380.956079546674,,,20609.0994602429,,,1145.64884804264,34324.4395547188,1091.03803932041,3664.97759840287,,,,459.819843491204,572.142600971784,18088.6680326578,,,,3935.05072327796,142.144896932526,1396.00990710984,971.393458214469,1094.01298682208,1588.61526693088,2438.01789831579,,,2992.61890513947,,,,,,,,,,22712.57399814,1459.69897745618,2146.24220504443,261.90778271559,1220.10577590412,1494.21574071878,,,2313.9994977498,644.363695405,12559.8149444894,,9673.01043080882,,,,1613.91944824391,13657.282976914,1824.80895613993,14572.2769513481,,,5528.71984927273,14816.4803087237,,1079.81211160613,,,,,,7815.86328308069,,,1614.92496517053,,2187.48412863209,13064.8891894598,4142.32182976676,1124.71682770766,673.5941858519,,1465.66604699162,,1159.42631541431,1083.23679659435,681.437437687744,892.342252137474,671.248286994508,604.808748618757,,351.601651106855,,,3578.79394687712,,13208.19960554,10590.450913719,12932.3757905722,,,10886.1641110176,,536.742533299567,,,,,1035.77332545003,,3824.72530837931,,,,,,3895.14903200485,,,,594.997143584641,609.022520139228,1036.85839999649,321.486890707014,968.477540347597,,28563.7962678035,,,,,,,786.920644206919,,,4229.16135167127,,1069.63025187898,,,,170.32089129365,,,,,,1286.69899567306,,237.053689913314,1512.57817467571,18920.493692085,,,955.926700433423,1447.83802488478,1812.83458203047,17467.2709384295,25660.5770569362,268.19130540454,,,12613.6087834279,,,338.061696697697,2549.86609604447,3008.59307810758,1179.99670415251,,1125.22762805143,,,6917.08867100568,,5258.97081265266,1457.85472508207,,,13127.1451915853,,,,,319.162799030442,352.944987201854,,840.084224909277,1314.01979765386,4112.59234563869,,385.274473287672,,,,,1190.37519193682,,1192.0435350533,,,3538.84457995636,,,20632.1066625449,,,2966.28182232476,,,690.787776307687,264.824032209418,,443.517722763954,638.745994230629,,,3913.30763751866,,,,352.944987201854,1192.0435350533,4713.19633834268,,3440.03761396078,,,,,1402.52405669667,5329.63120915759,18999.9685105065,,1711.76691541088,13037.5974750013,,,,,4129.69436633219,,,,5081.23326001462,1395.22294009399,1030.02614819483
1964,,,,,,,,5772.64996675286,,,,21035.9026922183,15220.8199272257,,205.396400591232,15667.857518951,744.801684024506,283.829121318269,410.571501971691,,,21688.4365832014,,,1169.02533225297,37201.9857760141,1111.69101343692,3685.49289177482,,,,480.308064760421,573.426591516838,18929.9277527717,,,,3957.23691302924,164.133284527784,1580.27709077669,983.581667644255,1039.40845258224,1607.16793139292,2510.72459846306,,,2994.57330094929,,,,,,,,,,24620.4573020891,1509.0753066009,2214.16194717546,280.77123081016,1289.65577569399,1614.99993885806,,,2414.71884283993,699.76692088917,13136.0163516028,,10085.7815250629,,,,1679.94739388472,14293.0093994806,1853.28318214132,15337.0768142689,,,5699.96476832071,15535.0269943816,,1070.76078135034,,,,,,8520.35877062279,,,1641.5544374817,,2377.67097341608,13749.7348997155,4392.24108528348,1152.69948877781,679.074061789069,,1413.95747669197,,1222.47598843675,1137.7937741803,696.320650354935,914.738538389682,676.56011013041,616.120797132696,,370.060435455038,,,3806.93032621298,,14262.18025076,10987.6497208163,13185.2726292957,,,12031.2950482614,,545.418230933488,,,,,1104.62914885115,,4005.94687038027,,,,,,4071.26585875376,,,,603.854711295872,635.232218492741,1090.20872461073,341.195082149969,1009.81709441726,,30467.4524715962,,,,,,,797.909432713269,,,4587.85325201625,,1127.17606631719,,,,156.771105634213,,,,,,1594.80465903995,,237.419487617619,1545.40759369836,19746.8481695661,,,929.788200841921,1487.4972707612,1964.10834296685,18661.3454880993,26743.2978284712,283.596476524269,,,13269.4519116493,,,354.563544262673,2584.76218402033,3115.17665707429,1182.12350911583,,1197.4340393728,,,7261.86969121404,,5587.75111658432,1479.60526585042,,,13825.0749543402,,,,,274.183723721816,371.875264948304,,808.001634339718,1327.46737990087,3884.12903156973,,404.397285782641,,,,,1224.58654470341,,1226.3064114526,,,3670.93702818782,,,21875.4096093502,,,3064.13408054558,,,660.384271500938,283.873477871823,,497.635446117103,662.176071213209,,,4089.03037579995,,,,371.875264948304,1226.3064114526,5012.87520092165,,3542.3185890187,,,,,1482.74006760762,5397.71418032063,19824.6714466982,,1755.54780204212,13999.2137695678,,,,,4318.29092901636,,,,5347.34095614223,1519.02301602729,984.668540040645
1965,,,,,,,,6286.22934651492,,,,21861.9296757339,15648.5269132562,,208.846076720306,16079.0517691191,770.409675101826,290.189797264514,404.788113389097,,,22863.758295185,,,1191.40864674436,38039.3200522726,1142.88956209141,3692.84578910732,,,,497.232321042949,567.884654763864,19764.6463844347,,,,3920.29029714583,187.436746093796,1474.83174092966,980.825911676565,1021.60842730323,1622.93259026488,2524.70319412899,,,3132.24585224729,,,,,,,,,,25542.1696365066,1279.62904249587,2289.91039458164,300.901658874963,1326.61977641532,1681.55503570043,,,2422.41103635473,715.140827784851,13672.7710790977,,10600.7244286097,,,,1711.2072601994,15000.85484294,1751.05863070234,15893.0497431221,,,6076.94724701182,15766.1957278907,1872.96727893547,1055.26674984069,,,,,,9393.78598276223,,,1665.01130531233,,2571.76162744446,14339.3461912878,4904.77842513694,1221.52911612107,689.486943303898,,1417.01766954377,,1261.80806545496,1172.62055717346,710.335862489984,941.324537158009,665.664568507322,623.189208884221,,352.889053096396,,,4346.6971979605,,15050.5004969936,11575.296701637,13501.9889624394,,,12595.3893697834,,538.425304491543,,,,,1155.71407640652,,4106.21111444707,,,,,,4170.38078532483,,,,604.638078834956,633.225278213521,1124.49622164791,341.537277215012,1048.90616849341,,29901.4154665261,,,,,,,774.467628544423,,,4762.9471904894,,1163.34448147257,,,,169.660079191846,1962.40527005741,,,,,1797.49013494998,,263.087026792206,1616.52999670363,20737.3395221258,,,965.855234268389,1527.13402150904,2086.81443434264,19997.8676956228,27938.821631226,275.359719833111,,,13816.2714329446,2314.52021884746,,381.585338312193,2739.23009831102,3198.14698318898,1206.07453115382,,1293.18526305292,,,7808.22810840181,,6029.63760527732,1529.83708125054,,,14425.2999492592,,,,,286.940024939941,359.909140030765,,838.876964554815,1307.66411766863,4087.87997467329,,426.25323336742,2357.59054847977,,,,1254.39786826609,,1256.12875006569,,,4003.05706502247,,,22498.4781024528,,,2956.45216847495,,,651.728029855804,304.212924100421,,558.912531122362,695.158676273688,,,4183.44164512585,,1950.05536897123,,359.909140030765,1256.12875006569,4997.14377343496,1112.55593668798,3556.64004923928,,,,,1546.92249007663,5395.15288941834,20831.3876137092,,1752.55103830511,14095.756717059,,,,,4464.89603783429,,,,5531.73140243764,1718.67662436774,998.754433553995
1966,,,,,,,,6151.92602594926,,,,21877.5307457311,16416.0056301174,,213.235282410668,16474.8315912848,783.141774906787,287.226696889536,402.302981343579,,,23860.742710002,,,1211.39972621103,42735.4470187247,1199.98970766408,3741.85563623891,,,,517.710650702993,560.165705711436,20700.6359552928,,,,4283.01760687328,201.697690857158,1586.68668152644,1002.4190256351,1060.77099829292,1601.47451185494,2580.50140551484,,,3244.14072913211,4680.59779364539,,,,,,,,,26032.3744495528,1407.61314929164,2120.45454437441,314.792801457159,1347.1707675167,1785.6828341925,,,2344.68385452423,731.880510290987,14276.8516837862,,11253.0330866557,,,,1670.37259551268,15299.3488993434,1705.34918004404,16557.4811225193,,,6236.87269824661,15926.1698546237,1991.20748881176,984.639137745384,,,697.205665970553,,,9930.32831920313,,,1708.20515382932,,2654.81795475492,15042.4583641516,4948.78850816466,1250.50581955932,688.926030221939,,1382.05759091481,,1294.04496591971,1196.48330401331,696.977689462954,910.972676114948,665.925841668241,619.845929035994,,345.421552178338,,,4708.93049898266,,16090.4970108454,11275.7158025973,14199.2537186079,3796.21940110553,,13808.6979425512,,597.582568530238,,,,,1262.19119166679,,4146.85625251376,,,,,,4229.13600683836,,,,619.956846341049,622.826094929364,1145.71212846084,333.113695772646,1090.73024668502,,30015.2442328176,,,,815.385869059634,,,770.506899537678,,,4898.34118637215,,1185.88412125308,,,,157.757112250506,2050.88567008691,,,,,1748.11192066849,,290.497866175143,1695.97499603409,21821.761555828,,,934.966433071245,1431.10305610637,2091.40026854976,20279.6117317856,28766.1464527026,289.480641669693,,,14481.2748131724,2370.53139794751,,393.31113888756,2861.65185117746,3365.54351293558,1221.74009727733,,1339.14520890454,,,8294.66799096578,,6323.02463528499,1519.43116143537,,,15140.749518983,,,,,299.087993879935,355.333907514077,,786.172738194519,1307.47105552825,4393.41096366865,,426.13307471727,2455.36787620391,,,,1242.75205838154,,1244.55738933006,,,4641.59871298788,,,22751.3586493926,,,3284.39082885302,,,628.070337911134,318.24569479694,,588.956328651548,749.708799756888,,,4237.26920373488,,2037.97893998835,,355.333907514077,1244.55738933006,5157.55577165606,1127.91413574275,3862.59249514104,,,,,1593.45689972735,5502.52741551722,21930.6836563618,,1734.56229768432,13837.0689252703,,,,,4624.945030748,,,,5631.01029910956,1573.7977397042,980.592835371823
1967,,,,,,,,6255.18402161641,,,,22964.6733986814,16783.8899182416,,236.535680939732,17017.1131514409,776.206341683346,307.50018836796,382.207715239462,,,25082.0636339279,,,1233.19306209562,47477.6600844709,1249.67790999055,3821.46106263661,,,,536.996190572163,574.251850204776,20959.977006415,,,,4361.99681672404,185.236138687927,1601.04961195199,872.00292609851,1020.79292042356,1591.44130517005,2611.64520749179,,,3323.10656395739,4818.41255322592,,,,,,,,,27256.317499845,1410.95847003076,2255.7930293535,303.90464214893,1386.27129232902,1891.90232806309,,,2382.18238807987,718.927033789946,14932.8578807384,,11597.8402663403,,,,1583.59242046795,15546.7437873045,1887.18437813365,17219.8662538234,,,6365.23153168702,16282.0261638161,2095.00733472239,991.036036610013,,,678.982478186231,,,10408.2150283586,,,1730.30306758974,,2722.8308865888,15581.743000148,4902.66253668077,1287.08625587143,683.782184252633,,1327.11621136459,,1322.8281207942,1211.88041180497,654.005986790107,809.679749460195,657.006332372491,611.242087942126,,364.746616624377,,,5118.21223890044,,15632.3242130391,11122.658045701,15108.8121339649,3816.012108309,,15196.6101831502,,597.294900686136,,,,,1345.01730573442,,4218.94772358953,,,,,,4302.33029628356,,,,644.19769112527,623.271404804313,1160.64986591235,361.600386017125,1094.31039893688,,29981.5239181354,,,,875.342926715598,,,792.363195840154,,,5026.51319176675,,1202.24231337642,,340.935035699823,,144.986311732891,2187.04163614185,,,,,1756.46010607629,,303.768964435789,1716.46529037434,22122.7070845401,,,909.77289086891,1179.89620278994,2170.6536479234,21109.8132246295,30311.1519023218,279.663905454656,,,14979.157520261,3832.15756139769,,403.769743297793,3017.29716261797,3398.95738097487,1249.16119559703,,1362.98563217555,,,8741.99662371337,,6843.33402736672,1614.98533950549,,,15693.0249774762,,,,,310.498616750872,369.927036696106,,774.665725652777,1255.0052898453,4834.99303220291,,418.863284737834,2517.45635599673,,,,1205.41323855146,,1207.19095483122,,,5060.7869179892,,,23337.2913967429,,,3220.81028883204,,,621.347810821912,307.24350355874,,594.087498966339,790.445683458097,,,4306.37909420089,,2173.27804291784,,369.927036696106,1207.19095483122,5228.66831725687,1106.02573187711,3950.6656754183,,,,,1621.41303977161,5248.85478457737,22235.5094759342,,1553.73956569919,13766.1109708064,,,,,4735.51880347142,,,,5882.84970567388,1646.59833153655,1027.85177442848
1968,,,,,,,,6460.78745199298,,,,23712.8659963529,17443.7052192203,,229.915102622963,17661.2184337474,789.779901263425,311.633925950035,405.533661773687,,,26161.134894406,,,1285.61100537771,47562.5258125272,1328.23083299619,4147.38172722123,,,,580.954923839761,570.332126169165,21654.8526515358,,,,4443.87678220638,173.063435451619,1737.35131859175,905.063032875934,1034.88125984463,1666.13931781685,2691.14399605816,,,3499.57248751485,5036.07091074811,,,,,,,,,28595.2534671592,1372.88468255909,2428.25922963296,303.935197427898,1449.25431123574,2038.9931810807,,,2357.5170247449,689.62016967295,15669.5242628869,,12202.3396830976,,,,1615.19471103918,15833.5821751846,1991.84552346741,17852.7245458928,,,6389.90685993339,17084.5797451247,2168.60797996526,972.104567710935,,,723.691303300924,,,11085.6427515997,,,1832.37036036778,,2709.54309371746,16406.6686869655,4962.71573769667,1332.19497835641,695.039277521673,,1343.67972242976,,1381.77217527153,1261.23425940687,660.209039367646,804.307811039999,709.196414693898,625.467592783138,,369.219230520794,,,5720.74621520379,1454.00650571663,14575.7464991649,12661.6629570494,15996.2425069774,3985.35108778679,,17097.2752949194,,623.409462188838,,,,,1487.18772341435,,4448.48696825281,,,,,,4526.03908678388,,,,665.584673170176,634.702978483829,1208.50960775563,352.430771685016,1141.95323287543,,31156.3928886315,,,,939.434360904669,,,824.620813611309,,3433.64891135218,5332.58044731099,,1252.96844768809,,349.013277887928,,158.691177732045,2383.08181955771,,,,,1877.76129836347,,290.321545813227,1808.11203222671,22944.5101830877,,,887.702261002144,1139.82004296435,2134.40664441772,22232.1526718262,30736.6839988694,276.191681066316,,,15757.8800967906,6770.42120093816,,421.606166862821,3135.93182298554,3310.95096383899,1273.26295433888,,1390.38132950713,,850.171534294394,9138.25835960688,,7482.64526130613,1644.22294263891,,,16532.9618817464,,,,,322.020658095406,377.346709777498,14252.6224117049,767.103328542182,1295.91815428218,5395.18502820946,,419.693160546123,2528.5903023545,,,,1211.12419640514,,1212.96497285777,,,5309.81792750141,,,24050.8744095429,,,3381.23323710078,,,607.100075175643,307.284562521581,,594.964896445785,829.773144948303,,,4530.60038870155,,2368.08449703679,,377.346709777498,1212.96497285776,5468.48906986341,1194.7700307338,4119.69576044225,,,,,1700.98300523027,5300.44689662192,23071.3021126072,,1638.36484472312,14303.2250017902,,,,,4934.21976063995,,,,5970.57883281864,1615.6783256125,1013.72739213881
1969,,,,,,,,6980.89917797887,,,,24857.5218078372,18474.5402685695,,221.450916401238,18778.8704316734,795.669169933237,312.533908263647,398.9499699562,,,27535.4159410559,,,1315.00226326914,48285.9217441288,1358.65711154152,4435.37902964333,,,,653.111664353787,598.874448891666,22440.2163939557,,,,4543.79245432221,196.910435232763,1831.45058505821,926.174029234037,1099.68197475695,1742.21370791525,2780.55305526404,,,3588.68425971074,5250.42507572588,,,,,,,,,30288.6314610485,1478.69849691773,2558.49007043648,327.431976262847,1502.91900383991,2216.3827851915,,,2396.47753949908,708.33663973648,16660.6977686348,,13158.8912250309,,,,1682.6114399722,17362.6160289855,2000.4057831301,18978.6879635936,,,6764.35875862703,17341.0488404502,2251.06597070523,1006.51325119692,,,720.575512270133,,,12322.4384752935,,,1870.10575608992,,2859.06150450501,17166.7251004652,5438.15287282092,1301.88825996654,707.24453732704,,1369.43656482698,,1449.93536963431,1325.41188449455,704.617148178852,913.177357156305,737.388552097114,632.155046573424,,384.98434640287,,,6479.62203968015,1450.29624789525,14783.8451996223,14009.4530537482,16875.9045965817,4153.42099855059,,18837.1772607866,,650.156291502029,,,,,1665.61264262447,,4607.10433866454,,,,,,4690.0135067902,,,,700.66746328561,669.817239223916,1270.54485081812,349.977858055443,1225.56871657738,,34096.064877188,,,,995.05558270536,,,832.934399280422,,3726.61293905714,5347.78407225182,,1318.22089013341,,345.010517814756,,160.095751657391,2616.14739682145,,,,,1844.54093647419,,299.498302537355,1851.30426750172,23456.3797815303,,,815.665475795252,1384.30002288822,2199.87999710835,23389.1443535642,31860.6144582984,282.894367191982,,,16450.9680790965,8251.52360542673,,433.07438359095,3304.346152613,3333.76535621928,1294.58439175182,,1470.9857958414,,926.774636980392,9912.74964749177,,7710.21443190243,1677.67194253909,,,17307.5097632998,,,,,346.340685842287,390.827122797978,14540.8228653688,755.089992098339,1176.05301061364,6049.8097893268,,447.131986679933,2547.06616228315,,,,1286.4418348908,,1288.36517712897,,,5441.57676842303,,,25078.7402896416,,,3301.74697500069,,,636.32302739054,331.047937359081,,630.523456850054,858.570529529661,,,4689.47087368482,,2599.6833350547,,390.827122797978,1288.36517712897,5579.50640021441,1224.1656331895,4187.23582623108,,,,,1787.18841878887,5570.58436807414,23555.1926140072,,1668.18939132724,13953.1501067058,,,,,5127.49946268224,,,,6091.03105705117,1558.17542138073,1101.93643360586
